n_worn,type,color,pattern,mask,radius,sorter,img
6,pants,black,solid,True,22.0,2,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/adidas_joggers.png
4,sweater,grey,other,True,21.0,7,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/alpaca_sweater.png
1,skirt,black,other,True,20.0,6,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_beaded_skirt.png
23,shoes,black,solid,True,27.0,4,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_boots.png
4,other,black,lace,True,21.0,1,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_bra.png
14,other,black,lace,True,24.0,1,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_bralette.png
4,skirt,black,solid,True,21.0,6,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_button_skirt.png
9,skirt,black,solid,True,23.0,6,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_circle_skirt.png
4,pants,black,solid,True,21.0,2,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_corduroys.png
1,skirt,black,denim,True,20.0,6,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_denim_skirt.png
5,dress,black,floral,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_flowered_dress.png
1,dress,black,plaid,True,20.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_gingham_dress.png
7,shorts,black,denim,True,22.0,5,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_high_waisted_shorts.png
5,pants,black,denim,True,21.0,2,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_jeans.png
7,top,black,lace,True,22.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_lace_shirt.png
13,top,black,lace,True,24.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_lace_tank_top.png
11,top,black,solid,True,23.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_long_sleeve_crop_top.png
6,dress,black,denim,True,22.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_overalls.png
10,shorts,black,stripes,True,23.0,5,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_patterned_shorts.png
1,top,black,solid,True,20.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_rhinestone_tank_top.png
7,pants,black,denim,True,22.0,2,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_ripped_jeans.png
3,romper,black,solid,True,21.0,3,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_romper.png
5,top,black,solid,True,21.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_strappy_top.png
9,top,black,solid,True,23.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_tank_top.png
7,top,black,solid,True,22.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_tee.png
39,pants,black,solid,True,32.0,2,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_tights.png
4,dress,black,other,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_triangle_dress.png
60,shoes,black,solid,True,39.0,4,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/black_vans.png
1,top,blue,floral,True,20.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/blue_flowered_tank_top.png
2,top,blue,plaid,True,20.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/blue_plaid_flannel.png
7,skirt,blue,plaid,True,22.0,6,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/blue_plaid_skirt.png
4,sweater,blue,stripes,True,21.0,7,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/blue_striped_sweater.png
3,dress,black,other,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/cheap_long_dress.png
5,dress,blue,plaid,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/checked_wrap_dress.png
7,dress,white,solid,True,22.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/cream_dress.png
22,pants,blue,denim,True,27.0,2,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/dark_skinny_jeans.png
9,dress,blue,floral,True,23.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/embroidered_dress.png
1,top,red,floral,True,20.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/flower_crop_top.png
13,other,pink,floral,True,24.0,1,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/flower_crown.png
1,shorts,black,floral,True,20.0,5,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/flowered_black_shorts.png
5,top,yellow,solid,True,21.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/gold_top.png
16,shoes,black,other,True,25.0,4,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/gold_vans.png
3,romper,green,floral,True,21.0,3,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/green_romper.png
1,skirt,green,solid,True,20.0,6,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/green_velvet_skirt.png
9,sweater,grey,other,True,23.0,7,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/grey_cable_knit_sweater.png
3,sweater,grey,solid,True,21.0,7,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/grey_cardigan.png
12,top,grey,solid,True,24.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/grey_crop_top.png
1,sweater,grey,floral,True,20.0,7,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/grey_flowered_sweater.png
1,shorts,grey,other,True,20.0,5,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/grey_linen_shorts.png
7,skirt,grey,plaid,True,22.0,6,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/grey_plaid_skirt.png
3,dress,grey,other,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/grey_sparkly_dress.png
8,sweater,grey,stripes,True,22.0,7,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/grey_striped_sweater.png
6,top,blue,other,True,22.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/hawaiian_shirt.png
5,romper,black,solid,True,21.0,3,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/jumpsuit.png
7,pants,black,solid,True,22.0,2,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/leggings.png
1,pants,blue,denim,True,20.0,2,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/light_flared_jeans.png
8,shorts,blue,denim,True,22.0,5,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/light_high_waisted_shorts.png
15,pants,blue,denim,True,25.0,2,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/light_skinny_jeans.png
5,top,white,lace,True,21.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/long_sleeve_lace_crop_top.png
2,other,red,floral,True,20.0,1,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/maroon_bra.png
5,skirt,red,other,True,21.0,6,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/maroon_skirt.png
6,sweater,red,stripes,True,22.0,7,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/maroon_sweater.png
7,romper,blue,floral,True,22.0,3,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/navy_blue_romper.png
3,skirt,blue,solid,True,21.0,6,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/navy_circle_skirt.png
3,dress,blue,solid,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/navy_keyhole_dress.png
62,shoes,black,solid,True,40.0,4,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/new_black_boots.png
10,other,pink,lace,True,23.0,1,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/pink_bralette.png
3,dress,pink,floral,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/pink_flowered_dress.png
2,pants,pink,floral,True,20.0,2,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/pink_flowered_pants.png
1,dress,pink,solid,True,20.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/pink_high-low_dress.png
7,top,pink,solid,True,22.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/pink_tee.png
5,top,blue,polka dots,True,21.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/polka_dot_button_up.png
1,pants,purple,solid,True,20.0,2,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/purple_corduroys.png
5,dress,purple,lace,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/purple_lace_dress.png
2,shorts,purple,denim,True,20.0,5,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/purple_shorts.png
4,dress,purple,other,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/purple_triangle_dress.png
1,top,grey,other,True,20.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/pydata_tee.png
2,top,other,other,True,20.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/r&g_t_shirt.png
1,dress,red,solid,True,20.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/red_button_dress.png
5,dress,red,solid,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/red_canvas_dress.png
1,dress,red,solid,True,20.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/red_gown.png
3,dress,red,plaid,True,21.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/red_jumper.png
6,top,red,lace,True,22.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/red_lace_shirt.png
2,dress,red,solid,True,20.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/red_lace_up_dress.png
1,skirt,red,other,True,20.0,6,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/red_maxi_skirt.png
7,top,red,plaid,True,22.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/red_plaid_flannel.png
3,top,red,lace,True,21.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/red_tank_top.png
8,top,red,solid,True,22.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/red_tee.png
3,top,black,other,True,21.0,8,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/rosie_the_riveter_tank_top.png
1,dress,red,other,True,20.0,0,https://raw.githubusercontent.com/malaikahanda/clothes/master/images/saree_dress.png
